CLAVE_ENTIDAD,ENTIDAD_FEDERATIVA,ABREVIATURA,FECHA_ACT,DECESOS,CONFIRMADOS,SOSPECHOSOS,Notas
1,AGUASCALIENTES,AS,18/04/20,2,81,53,
2,BAJA CALIFORNIA,BC,18/04/20,83,725,676,
3,BAJA CALIFORNIA SUR,BS,19/04/20,8,182,175,
4,CAMPECHE,CC,,,,,
5,COAHUILA,CL,19/04/20,23,257,,
6,COLIMA,CM,18/04/20,2,10,25,
7,CHIAPAS,CS,18/04/20,3,70,727,
8,CHIHUAHUA,CH,19/04/20,36,165,,http://www.cambio.gob.mx/spip.php?article15245 
9,CIUDAD DE MÉXICO,DF,no alcanzo a ver,178,2299,4653,
10,DURANGO,DG,18/04/20,4,18,98,
11,GUANAJUATO,GT,19/04/20,10,164,202,
12,GUERRERO,GR,16/04/20,9,100,149,
13,HIDALGO,HG,,13,75,45,http://coronavirus.hidalgo.gob.mx/ 
14,JALISCO,JC,18/04/20,13,196,547,
15,ESTADO DE MÉXICO,MC,19/04/20,52,786,1289,
16,MICHOACÁN,MN,18/04/20,17,117,252,
17,MORELOS,MS,18/04/20,11,87,89,
18,NAYARIT,NT,18/04/20,7,39,18,
19,NUEVO LEÓN,NL,18/04/20,7,258,615,
20,OAXACA,OC,18/04/20,6,62,61,https://www.oaxaca.gob.mx/comunicacion/wp-content/uploads/sites/28/2020/04/SSO-GR%C3%81FICA-18-DE-ABRIL-1.jpeg 
21,PUEBLA,PL,12/04/20,31,267,139,
22,QUERÉTARO,QT,19/04/20,6,86,,https://www.queretaro.gob.mx/covid19/ 
23,QUINTANA ROO,QR,19/04/20,32,323,179,
24,SAN LUIS POTOSÍ,SP,,5,59,,
25,SINALOA,SL,18/04/20,45,324,949,
26,SONORA,SR,17/04/20,14,124,,https://www.sonora.gob.mx/acciones/covid-19/informacion-oficial-del-dia-viernes-17-de-abril-de-2020-20-30-horas.html 
27,TABASCO,TC,18/04/20,28,278,361,https://tabasco.gob.mx/noticias/reitera-salud-llamado-tabasquenos-quedarse-en-casa-para-prevenir-el-covid-19 
28,TAMAULIPAS,TS,,6,193,7,
29,TLAXCALA,TL,,,,,
30,VERACRUZ,VZ,18/04/20,9,125,643,
31,YUCATÁN,YN,17/04/20,10,146,1414,
32,ZACATECAS,ZS,19/04/20,2,32,50,
