CLAVE_ENTIDAD,ENTIDAD_FEDERATIVA,ABREVIATURA,FECHA_ACT,DECESOS,CONFIRMADOS,SOSPECHOSOS,Notas
1,AGUASCALIENTES,AS,22/04/20,4,118,53,
2,BAJA CALIFORNIA,BC,22/04/20,133,975,486,
3,BAJA CALIFORNIA SUR,BS,22/04/20,10,212,143,
4,CAMPECHE,CC,22/04/20,,,,
5,COAHUILA,CL,22/04/20,30,292,,
6,COLIMA,CM,21/04/20,2,14,22,
7,CHIAPAS,CS,22/04/20,5,85,781,
8,CHIHUAHUA,CH,21/04/20,38,177,220,http://www.cambio.gob.mx/spip.php?article15266 
9,CIUDAD DE MÉXICO,DF,22/04/20,,,,
10,DURANGO,DG,22/04/20,5,30,47,
11,GUANAJUATO,GT,22/04/20,10,198,254,
12,GUERRERO,GR,21/04/20,16,126,63,
13,HIDALGO,HG,22/04/20,16,106,34,http://coronavirus.hidalgo.gob.mx/ 
14,JALISCO,JC,22/04/20,15,226,265,
15,ESTADO DE MÉXICO,MC,22/04/20,58,901,2198,
16,MICHOACÁN,MN,22/04/20,21,147,226,
17,MORELOS,MS,22/04/20,15,101,83,
18,NAYARIT,NT,21/04/20,9,48,7,
19,NUEVO LEÓN,NL,21/04/20,8,301,751,
20,OAXACA,OC,21/04/20,8,69,61,https://www.oaxaca.gob.mx/comunicacion/al-iniciar-la-fase-3-quedarse-en-casa-es-vital-para-frenar-al-covid-19-sso/ 
21,PUEBLA,PL,22/04/20,78,401,,https://www.puebla.gob.mx/index.php/noticias/item/1568-exhorta-salud-a-fortalecer-medidas-de-prevencion-ante-fase-3-de-covid-19 
22,QUERÉTARO,QT,22/04/20,7,91,,https://www.queretaro.gob.mx/covid19/ 
23,QUINTANA ROO,QR,22/04/20,55,426,63,
24,SAN LUIS POTOSÍ,SP,22/04/20,5,71,,
25,SINALOA,SL,21/04/20,53,413,913,
26,SONORA,SR,21/04/20,17,165,,https://www.sonora.gob.mx/coronavirus/inicio.html 
27,TABASCO,TC,21/04/20,42,397,351,https://tabasco.gob.mx/noticias/reitera-salud-llamado-tabasquenos-quedarse-en-casa-para-prevenir-el-covid-19 
28,TAMAULIPAS,TS,22/04/20,9,252,52,
29,TLAXCALA,TL,22/04/20,1,42,530,
30,VERACRUZ,VZ,21/04/20,16,180,284,https://comunicacion.tlaxcala.gob.mx/index.php/71-sala-de-prensa/11817-confirma-sesa-un-caso-mas-de-covid-19-en-tlaxcala 
31,YUCATÁN,YN,22/04/20,17,207,1935,https://coronavirus.yucatan.gob.mx/noticia.php?id=2748 
32,ZACATECAS,ZS,22/04/20,3,46,26,
