CLAVE_ENTIDAD,ENTIDAD_FEDERATIVA,ABREVIATURA,FECHA_ACT,DECESOS,CONFIRMADOS,SOSPECHOSOS,Notas
1,AGUASCALIENTES,AS,22/04/20,5,136,69,
2,BAJA CALIFORNIA,BC,22/04/20,136,1047,516,
3,BAJA CALIFORNIA SUR,BS,22/04/20,12,250,182,
4,CAMPECHE,CC,,,,,
5,COAHUILA,CL,22/04/20,31,323,,
6,COLIMA,CM,21/04/20,2,16,17,
7,CHIAPAS,CS,22/04/20,5,85,891,
8,CHIHUAHUA,CH,22/04/20,40,236,205,http://www.cambio.gob.mx/spip.php?article15266 
9,CIUDAD DE MÉXICO,DF,,,,,
10,DURANGO,DG,22/04/20,5,33,51,
11,GUANAJUATO,GT,23/04/20,15,236,350,
12,GUERRERO,GR,21/04/20,18,142,68,
13,HIDALGO,HG,23/04/20,16,113,34,http://coronavirus.hidalgo.gob.mx/ 
14,JALISCO,JC,22/04/20,15,263,393,
15,ESTADO DE MÉXICO,MC,23/04/20,82,1157,943,
16,MICHOACÁN,MN,22/04/20,23,170,214,
17,MORELOS,MS,23/04/20,20,108,113,
18,NAYARIT,NT,22/04/20,9,50,14,
19,NUEVO LEÓN,NL,22/04/20,8,331,465,
20,OAXACA,OC,21/04/20,8,81,26,https://www.oaxaca.gob.mx/salud/covid-19/ 
21,PUEBLA,PL,21/04/20,78,427,,http://plataformageo.puebla.gob.mx/covid-19/ 
22,QUERÉTARO,QT,23/04/20,7,94,,https://www.queretaro.gob.mx/covid19/ 
23,QUINTANA ROO,QR,23/04/20,60,461,55,
24,SAN LUIS POTOSÍ,SP,23/04/20,5,74,,
25,SINALOA,SL,22/04/20,61,407,1149,
26,SONORA,SR,22/04/20,22,181,,https://www.sonora.gob.mx/coronavirus/inicio.html 
27,TABASCO,TC,21/04/20,42,397,351,https://tabasco.gob.mx/noticias/reitera-salud-llamado-tabasquenos-quedarse-en-casa-para-prevenir-el-covid-19 
28,TAMAULIPAS,TS,23/04/20,10,275,41,
29,TLAXCALA,TL,22/04/20,13,100,267,
30,VERACRUZ,VZ,22/04/20,19,212,235,
31,YUCATÁN,YN,22/04/20,17,207,1935,https://coronavirus.yucatan.gob.mx/noticia.php?id=2748 
32,ZACATECAS,ZS,23/04/20,4,49,45,
